LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
m360_unhcrcasenumber,m360_UNHCRcasenumber,String,,StringType,True,True,True,True,74,,,UNHCR Case Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{7febc6e9-111a-4e65-9765-e16d827e1bf2},None,Standard
m360_urgency,m360_urgency,Lookup,,LookupType,True,True,True,True,75,,,Urgency,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{3a3b6967-1293-43ee-9153-d93b602abcdc},None,Standard
m360_urgencyname,m360_urgencyName,String,m360_urgency,StringType,False,False,False,True,95,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{9692fd10-6412-4e4e-b3b0-c7a393bdba4a},None,Standard
m360_valid_from,m360_valid_from,DateTime,,DateTimeType,True,True,True,True,76,,,Valid From,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{c82b4ab1-6003-4498-83c8-bf4d8dadad26},None,Standard
m360_valid_to,m360_valid_to,DateTime,,DateTimeType,True,True,True,True,77,,,Valid to,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{7fa5d87d-0a7e-4eb7-a4ea-a06e236e9c16},None,Standard
m360_xmifid,m360_xmifid,String,,StringType,True,True,True,True,78,,,XMIFID,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{34e710b8-32eb-4aab-bbec-400b6db642fe},None,Standard
modifiedby,ModifiedBy,Lookup,,LookupType,False,False,False,True,5,,Unique identifier of the user who modified the record.,Modified By,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,,{24b69956-c3ef-495d-94e9-3d6189e8e72c},None,Standard
modifiedbyname,ModifiedByName,String,modifiedby,StringType,False,False,False,True,12,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{931eb196-4119-41cf-8b73-b30550b05757},None,Standard
modifiedbyyominame,ModifiedByYomiName,String,modifiedby,StringType,False,False,False,True,13,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{2dc2b0eb-912a-4cc7-bd99-372e7085e684},SystemRequired,Standard
modifiedon,ModifiedOn,DateTime,,DateTimeType,False,False,False,True,4,,Date and time when the record was modified.,Modified On,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,True,,{7e372117-7bbb-4331-8409-ea56aa21b3ce},None,Standard
