LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
m360_external_case_type,m360_external_case_type,Lookup,,LookupType,True,True,True,True,45,,,External Case Type,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{e3e94a4d-3e5f-43a6-84ce-6e32009cc171},None,Standard
m360_external_case_typename,m360_external_case_typeName,String,m360_external_case_type,StringType,False,False,False,True,84,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{1d03fba1-d6fe-45d3-bf05-a70444fbdabe},None,Standard
m360_externalcasenumber,m360_externalcasenumber,String,,StringType,True,True,True,True,46,,,External Case Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{5f3491b0-ac2f-4093-b04f-74bd62158565},None,Standard
m360_final_destination,m360_final_destination,Lookup,,LookupType,True,True,True,True,47,,,Final Destination,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{94a897db-335d-43bb-9c5a-ec919eb1ba9c},None,Standard
m360_final_destination_type,m360_final_destination_type,Lookup,,LookupType,True,True,True,True,48,,,Final Destination Type,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{110cea27-4b71-45fa-8f6f-e0d0c6f54840},None,Standard
m360_final_destination_typename,m360_final_destination_typeName,String,m360_final_destination_type,StringType,False,False,False,True,86,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{ae8ee03f-2abf-4150-8030-99907c104665},None,Standard
m360_final_destinationname,m360_final_destinationName,String,m360_final_destination,StringType,False,False,False,True,85,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{1b2e89df-7a98-483d-b029-9f60605e2336},None,Standard
m360_individual_classification,m360_individual_classification,Lookup,,LookupType,True,True,True,True,49,,,Individual Classification,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{b15bc40d-dc91-43df-93a9-c79bdb4d4e05},None,Standard
m360_individual_classificationname,m360_individual_classificationName,String,m360_individual_classification,StringType,False,False,False,True,87,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{441397ed-04a7-48fb-a234-b0305e2fa73d},None,Standard
m360_internal_external_case,m360_internal_external_case,Picklist,,PicklistType,True,True,True,True,50,,,Internal /External Case,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{28a9002e-95b1-4888-a349-ab00f8abcc87},None,Standard
m360_internal_external_casename,m360_internal_external_caseName,Virtual,m360_internal_external_case,VirtualType,False,False,False,True,51,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{a40f423f-ab4a-4fcf-a90b-0046a17d2a02},None,Standard
m360_internalcasenumber,m360_internalcasenumber,String,,StringType,True,True,True,True,52,,,Internal Case Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{ab6c9677-858e-43ed-b4cc-f5680c3d7ef0},None,Standard
m360_is_revoke,m360_is_revoke,Boolean,,BooleanType,True,True,True,True,53,,,Is Revoke,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{0687c46f-db00-484f-8d75-6cfe24f0cb9e},None,Standard
m360_is_revokename,m360_is_revokeName,Virtual,m360_is_revoke,VirtualType,False,False,False,True,54,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{48e597cf-5dfa-4347-b72d-34845c529622},None,Standard
m360_is_unaccompanied_minor,m360_is_unaccompanied_minor,Boolean,,BooleanType,True,True,True,True,55,,,Is unaccompanied Minor,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{b62d3a63-acbd-41e4-8415-61d52a197294},None,Standard
m360_is_unaccompanied_minorname,m360_is_unaccompanied_minorName,Virtual,m360_is_unaccompanied_minor,VirtualType,False,False,False,True,56,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{0a9bc2fe-6422-4820-a4df-463d76d2c8fd},None,Standard
m360_last_date_modified,m360_last_date_modified,DateTime,,DateTimeType,True,True,True,True,57,,,Last Date Modified,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{dbee797d-1065-4d80-a4bd-0b4c8b425884},None,Standard
m360_managing_mission,m360_managing_mission,Lookup,,LookupType,True,True,True,True,58,,,Managing Mission,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{a704fefe-1bc1-4133-9fa7-bc14e32f600f},None,Standard
m360_managing_missionname,m360_managing_missionName,String,m360_managing_mission,StringType,False,False,False,True,88,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{5926035f-2b0c-4a43-82db-12d67a980fe0},None,Standard
m360_must_travel_by_date,m360_must_travel_by_date,DateTime,,DateTimeType,True,True,True,True,59,,,Must Travel by Date,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{cc7b2405-9653-4643-a46a-b6e91d5bb168},None,Standard
m360_name,m360_Name,String,,StringType,False,False,False,True,34,,,Name,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,,{4cc22b63-878c-4851-beb6-77d98e4a8803},ApplicationRequired,Standard
m360_primaryreferencenumber,m360_primaryreferencenumber,String,,StringType,True,True,True,True,60,,,Primary Reference Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{4627aacf-c0a3-4793-981b-b9275fac53c2},None,Standard
m360_program,m360_program,Lookup,,LookupType,True,True,True,True,61,,,Program,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{a4e1041b-ef2b-458b-a5bd-65b47ac37f1b},None,Standard
m360_programname,m360_programName,String,m360_program,StringType,False,False,False,True,89,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{a1358f4a-3bd6-4f67-b806-f515bf6ad033},None,Standard
m360_promisory_note_category,m360_promisory_note_category,Lookup,,LookupType,True,True,True,True,62,,,Promisory Note Category,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{6f829910-3330-4d66-b888-ed9fd5b1ee1f},None,Standard
